time 1,PLA_1, time 2,PLA_2,time 3,PLA_3, time 4,PLA_4,time 5 ,PCL_1, time 6,PCL_2,time 7,PCL_3, time 8,PCL_4,time 9 ,PBA_1, time 10,PBA_2,time 11,PBA_3, time 12,PBA_4,time 13 ,Borosilicate_1, time 14,Borosilicate_2,time 15,Cellulose_1, time 16,Cellulose_2
124, 178993.1, 124, 242797.9, 124, 1151815.0, 124, 402276.9, 124, 426824.6, 124, 308046.1, 124, 200577.9, 124, 368393.8, 124, 276428.9, 124, 330273.7, 124, 266480.9, 124, 373404.0, 124, 276040.1, 124, 357360.1, 124, 411689.5, 124, 266481.9
126, 178992.3, 126, 242789.3, 126, 1151841.0, 126, 402255.9, 126, 426814.8, 126, 308084.3, 126, 200600.9, 126, 368423.5, 126, 276397.2, 126, 330269.1, 126, 266422.3, 126, 373423.2, 126, 275993.6, 126, 357254.5, 126, 411776.2, 126, 266459.2
128, 178915.1, 128, 242802.1, 128, 1151812.0, 128, 402257.9, 128, 426749.4, 128, 308086.4, 128, 200561.0, 128, 368450.9, 128, 276377.5, 128, 330250.0, 128, 266369.5, 128, 373390.4, 128, 276027.0, 128, 357260.8, 128, 411794.6, 128, 266491.5
130, 178963.0, 130, 242825.8, 130, 1151856.0, 130, 402280.5, 130, 426761.2, 130, 308059.6, 130, 200610.8, 130, 368439.3, 130, 276458.7, 130, 330229.0, 130, 266392.5, 130, 373389.0, 130, 275974.7, 130, 357289.2, 130, 411728.6, 130, 266435.0
132, 178952.3, 132, 242816.5, 132, 1151845.0, 132, 402259.0, 132, 426756.5, 132, 308017.5, 132, 200593.8, 132, 368406.4, 132, 276386.8, 132, 330239.9, 132, 266439.7, 132, 373378.0, 132, 275978.2, 132, 357277.1, 132, 411740.4, 132, 266427.4
134, 178935.2, 134, 242794.7, 134, 1151801.0, 134, 402218.9, 134, 426753.4, 134, 308026.9, 134, 200544.0, 134, 368410.0, 134, 276401.0, 134, 330214.5, 134, 266394.9, 134, 373361.3, 134, 275974.3, 134, 357283.8, 134, 411664.7, 134, 266460.0
136, 178936.2, 136, 242850.0, 136, 1151784.0, 136, 402226.8, 136, 426736.0, 136, 308004.3, 136, 200617.2, 136, 368360.4, 136, 276386.1, 136, 330218.9, 136, 266403.6, 136, 373351.8, 136, 275961.8, 136, 357295.4, 136, 411657.3, 136, 266427.4
138, 178958.5, 138, 242804.5, 138, 1151805.0, 138, 402210.6, 138, 426747.7, 138, 307987.7, 138, 200538.3, 138, 368321.3, 138, 276365.6, 138, 330177.5, 138, 266350.6, 138, 373351.1, 138, 275967.1, 138, 357289.2, 138, 411682.1, 138, 266469.6
140, 178940.3, 140, 242758.4, 140, 1151822.0, 140, 402201.0, 140, 426697.3, 140, 308016.7, 140, 200550.9, 140, 368389.5, 140, 276329.4, 140, 330178.0, 140, 266387.2, 140, 373296.9, 140, 275944.4, 140, 357191.3, 140, 411718.8, 140, 266466.1
142, 178951.8, 142, 242804.0, 142, 1151794.0, 142, 402172.4, 142, 426687.2, 142, 307951.1, 142, 200552.7, 142, 368363.0, 142, 276349.5, 142, 330151.8, 142, 266357.6, 142, 373332.3, 142, 275911.6, 142, 357244.8, 142, 411668.4, 142, 266436.0
144, 178841.7, 144, 242793.6, 144, 1151789.0, 144, 402134.0, 144, 426700.6, 144, 308007.6, 144, 200570.9, 144, 368325.9, 144, 276318.2, 144, 330142.1, 144, 266353.6, 144, 373318.4, 144, 275893.0, 144, 357242.0, 144, 411654.2, 144, 266411.7
146, 178894.2, 146, 242802.5, 146, 1151814.0, 146, 402212.3, 146, 426708.8, 146, 308015.0, 146, 200525.9, 146, 368329.0, 146, 276361.1, 146, 330136.5, 146, 266443.0, 146, 373320.4, 146, 275865.8, 146, 357235.1, 146, 411629.4, 146, 266489.4
148, 178892.2, 148, 242765.0, 148, 1151750.0, 148, 402232.8, 148, 426706.6, 148, 307981.2, 148, 200568.2, 148, 368331.9, 148, 276322.7, 148, 330106.1, 148, 266376.7, 148, 373293.3, 148, 275884.2, 148, 357215.7, 148, 411615.6, 148, 266433.0
150, 178911.7, 150, 242757.3, 150, 1151782.0, 150, 402191.8, 150, 426711.5, 150, 307962.1, 150, 200520.2, 150, 368300.5, 150, 276347.3, 150, 330155.9, 150, 266388.5, 150, 373325.9, 150, 275966.0, 150, 357256.2, 150, 411638.7, 150, 266430.5
152, 178881.1, 152, 242740.0, 152, 1151709.0, 152, 402144.8, 152, 426640.2, 152, 307998.8, 152, 200461.8, 152, 368286.1, 152, 276309.5, 152, 330126.9, 152, 266406.8, 152, 373362.3, 152, 275859.1, 152, 357192.9, 152, 411622.5, 152, 266402.7
154, 178890.3, 154, 242746.1, 154, 1151788.0, 154, 402172.6, 154, 426696.5, 154, 307979.9, 154, 200483.4, 154, 368316.7, 154, 276337.8, 154, 330101.8, 154, 266404.1, 154, 373290.6, 154, 275906.1, 154, 357218.4, 154, 411712.4, 154, 266440.1
156, 178890.0, 156, 242741.8, 156, 1151828.0, 156, 402189.4, 156, 426680.3, 156, 307957.0, 156, 200497.4, 156, 368286.3, 156, 276339.2, 156, 330113.4, 156, 266365.0, 156, 373361.0, 156, 275868.9, 156, 357243.4, 156, 411720.2, 156, 266451.1
158, 178937.7, 158, 242773.1, 158, 1151784.0, 158, 402204.8, 158, 426666.6, 158, 307953.3, 158, 200503.2, 158, 368322.4, 158, 276273.4, 158, 330202.2, 158, 266326.7, 158, 373301.2, 158, 275940.6, 158, 357220.1, 158, 411786.1, 158, 266429.6
160, 178952.7, 160, 242841.9, 160, 1151820.0, 160, 402235.8, 160, 426637.4, 160, 308021.9, 160, 200457.4, 160, 368370.1, 160, 276273.2, 160, 330289.7, 160, 266306.9, 160, 373345.4, 160, 275976.4, 160, 357185.6, 160, 411846.0, 160, 266479.6
162, 178969.3, 162, 242863.2, 162, 1151844.0, 162, 402345.8, 162, 426661.6, 162, 307963.9, 162, 200446.9, 162, 368390.1, 162, 276219.2, 162, 330257.1, 162, 266206.6, 162, 373382.4, 162, 275888.9, 162, 357120.4, 162, 411940.0, 162, 266529.7
164, 178971.3, 164, 242857.4, 164, 1151840.0, 164, 402390.7, 164, 426645.7, 164, 308007.2, 164, 200466.6, 164, 368384.6, 164, 276228.2, 164, 330300.6, 164, 266164.1, 164, 373287.3, 164, 275917.3, 164, 357131.5, 164, 411928.0, 164, 266507.2
166, 178991.7, 166, 242923.5, 166, 1151822.0, 166, 402262.5, 166, 426608.4, 166, 307904.7, 166, 200473.7, 166, 368386.3, 166, 276243.9, 166, 330239.8, 166, 266146.9, 166, 373340.8, 166, 275990.2, 166, 357124.6, 166, 411892.8, 166, 266476.4
168, 178975.5, 168, 242895.7, 168, 1151790.0, 168, 402205.5, 168, 426638.9, 168, 307863.4, 168, 200488.5, 168, 368362.8, 168, 276226.3, 168, 330192.2, 168, 266163.2, 168, 373278.7, 168, 275910.6, 168, 357094.3, 168, 411795.8, 168, 266466.6
170, 178951.2, 170, 242844.8, 170, 1151836.0, 170, 402223.6, 170, 426595.4, 170, 307910.0, 170, 200471.2, 170, 368334.5, 170, 276258.6, 170, 330152.5, 170, 266144.9, 170, 373273.3, 170, 275893.4, 170, 357111.8, 170, 411759.0, 170, 266417.0
172, 178903.5, 172, 242855.3, 172, 1151845.0, 172, 402188.8, 172, 426650.4, 172, 307839.6, 172, 200490.7, 172, 368298.6, 172, 276248.3, 172, 330153.8, 172, 266181.7, 172, 373241.7, 172, 275881.1, 172, 357146.2, 172, 411690.3, 172, 266413.5
174, 178896.2, 174, 242815.8, 174, 1151801.0, 174, 402148.0, 174, 426607.5, 174, 307876.6, 174, 200442.6, 174, 368333.9, 174, 276225.5, 174, 330110.5, 174, 266199.9, 174, 373249.1, 174, 275838.7, 174, 357119.6, 174, 411637.7, 174, 266436.5
176, 178885.7, 176, 242823.6, 176, 1151781.0, 176, 402156.8, 176, 426588.3, 176, 307852.9, 176, 200455.3, 176, 368276.9, 176, 276290.4, 176, 330078.6, 176, 266147.6, 176, 373250.3, 176, 275826.6, 176, 357093.4, 176, 411645.6, 176, 266471.7
